Date, AAPL, AMAZN, CAT, JNJ,JPM,MSFT,PG,XOM,,,
27/12/2024,255.59,223.75,223.75,145.05,241.17,430.53,169.53,106.48,,,
20/12/2024,254.49,224.92,224.92,144.47,237.6,436.6,168.06,105.87,,,
13/12/2024,248.13,227.46,227.46,146.62,239.94,447.27,171.06,110.84,,,
06/12/2024,242.84,227.03,227.03,149.31,247.36,443.57,173.82,113.57,,,
29/11/2024,237.33,207.89,207.89,155.01,249.72,423.46,179.26,117.96,,,
22/11/2024,229.87,197.12,197.12,155.17,248.55,417,176.28,121.79,,,
15/11/2024,225,202.61,202.61,154,245.31,415,169.54,119.31,,,
08/11/2024,226.96,208.18,208.18,155.47,236.98,422.54,167.71,121.11,,,
01/11/2024,222.91,197.93,197.93,160.13,222.94,410.37,165.1,114.95,,,
25/10/2024,231.41,187.83,187.83,160.88,222.31,428.15,168.22,119.49,,,
18/10/2024,235,188.99,188.99,165.12,225.37,418.16,171.28,120.01,,,
11/10/2024,227.55,188.82,188.82,161.46,222.29,416.32,171.09,123.61,,,
04/10/2024,226.8,186.51,186.51,160.29,211.22,416.06,168.88,124.83,,,
27/09/2024,227.79,187.97,187.97,161.4,210.5,428.02,173.55,115.82,,,
20/09/2024,228.2,191.6,191.6,164.16,211.09,435.27,174.22,115.27,,,
13/09/2024,222.5,186.49,186.49,165.52,204.32,430.59,174.08,111.15,,,
06/09/2024,220.82,171.39,171.39,164.38,212.46,401.7,175.59,112.64,,,
30/08/2024,229,178.5,178.5,165.86,224.8,417.14,171.54,117.94,,,
23/08/2024,226.84,177.04,177.04,164.13,218.31,416.79,169.17,116.32,,,
16/08/2024,226.05,177.06,177.06,159.39,213.97,418.47,167.89,118.17,,,
09/08/2024,216.24,166.94,166.94,160.62,205.8,406.02,170.54,118.85,,,
02/08/2024,219.86,167.9,167.9,164.14,199.14,408.49,170.08,116.88,,,
26/07/2024,217.96,182.5,182.5,160.64,212.24,425.27,169.11,117.33,,,
